longitude,latitude,feature_code,current,contested,cluster_id,segment
33.81203,51.45935,PPL,CONTESTED,25,1,Cluster 2
36.73788,47.69461,PPL,UA,2,3,Cluster 4
36.86245,49.33037,PPL,RU,7,0,Cluster 1
31.438340000000004,47.76155,PPL,UA,2,3,Cluster 4
36.61667,47.63333,PPL,CONTESTED,20,0,Cluster 1
35.55,47.43333,PPL,RU,1,3,Cluster 4
36.42113,47.31244,PPL,RU,1,3,Cluster 4
37.18513,47.52987,PPL,RU,10,0,Cluster 1
37.19018,47.448890000000006,PPL,RU,10,0,Cluster 1
37.49674,47.60103,PPLA2,RU,10,0,Cluster 1
33.62555,50.79334,PPL,CONTESTED,25,1,Cluster 2
34.258590000000005,51.51437,PPL,CONTESTED,25,1,Cluster 2
35.08638,47.28861,PPL,RU,3,3,Cluster 4
39.29861,49.06875,PPL,RU,6,0,Cluster 1
29.78517,50.02854,PPL,UA,8,2,Cluster 3
31.695690000000003,46.864740000000005,PPL,UA,7,3,Cluster 4
38.36667,48.83333,PPLX,UA,11,0,Cluster 1
38.36481,48.8358,PPL,UA,11,0,Cluster 1
31.36838,47.428670000000004,PPL,UA,2,3,Cluster 4
31.79856,47.757,PPL,UA,2,3,Cluster 4
31.94898,47.60242,PPL,UA,2,3,Cluster 4
32.096070000000005,47.571670000000005,PPL,UA,5,3,Cluster 4
29.430559999999996,50.22065,PPL,UA,5,2,Cluster 3
32.25991,46.99435,PPL,UA,6,3,Cluster 4
34.31817,50.16622,PPL,CONTESTED,25,1,Cluster 2
36.00262,47.1672,PPL,RU,1,3,Cluster 4
30.874109999999998,47.5892,PPL,UA,2,3,Cluster 4
35.456559999999996,47.38799,PPL,RU,1,3,Cluster 4
31.76349,46.8401,PPL,UA,7,3,Cluster 4
37.51875,47.26475,PPL,RU,7,0,Cluster 1
29.868920000000003,50.31452,PPL,UA,22,1,Cluster 2
36.95943,47.068529999999996,PPL,RU,4,0,Cluster 1
35.33515,47.30093,PPL,RU,3,3,Cluster 4
35.55345,47.30726,PPL,RU,1,3,Cluster 4
36.5625,47.69582,PPL,CONTESTED,20,0,Cluster 1
37.21389,47.434329999999996,PPL,RU,6,0,Cluster 1
31.025190000000002,47.26582,PPL,UA,2,3,Cluster 4
32.265,47.192809999999994,PPL,RU,6,3,Cluster 4
31.17466,47.76123,PPL,UA,2,3,Cluster 4
39.40637,49.3957,PPL,RU,5,0,Cluster 1
31.09723,47.22635,PPL,UA,2,3,Cluster 4
37.685559999999995,47.09391,PPL,RU,7,0,Cluster 1
29.651259999999997,50.23308,PPL,UA,8,2,Cluster 3
29.283109999999997,50.26722,PPL,UA,5,2,Cluster 3
33.88948,51.51533,PPL,CONTESTED,25,1,Cluster 2
31.42223,46.65606,PPL,UA,5,3,Cluster 4
37.27667,49.07861,PPL,CONTESTED,12,0,Cluster 1
36.00516,47.672540000000005,PPL,CONTESTED,21,0,Cluster 1
31.52685,47.250409999999995,PPL,UA,5,3,Cluster 4
31.31147,47.746179999999995,PPL,UA,2,3,Cluster 4
31.85983,47.6234,PPL,UA,2,3,Cluster 4
35.18333,47.38333,PPL,RU,3,3,Cluster 4
31.192120000000003,47.45973,PPL,UA,2,3,Cluster 4
37.331959999999995,49.95987,PPL,RU,15,0,Cluster 1
39.83338,49.51364,PPL,RU,5,0,Cluster 1
37.75886,48.1889,PPL,CONTESTED,1,0,Cluster 1
36.395379999999996,47.69174,PPL,CONTESTED,20,0,Cluster 1
37.03333,47.05,PPL,RU,4,0,Cluster 1
31.232190000000003,47.35688,PPLA2,UA,2,3,Cluster 4
34.03411,51.501740000000005,PPL,CONTESTED,25,1,Cluster 2
32.101240000000004,47.518440000000005,PPL,UA,5,3,Cluster 4
31.00842,47.3979,PPL,UA,2,3,Cluster 4
31.18054,47.371520000000004,PPL,UA,2,3,Cluster 4
29.7442,50.27138,PPL,UA,22,1,Cluster 2
39.253659999999996,48.71261,PPL,RU,6,0,Cluster 1
36.67426,47.69742,PPL,UA,2,3,Cluster 4
32.156620000000004,51.66473,PPL,RU,20,1,Cluster 2
36.08291,47.69624,PPL,CONTESTED,21,0,Cluster 1
34.95861,50.82902,PPL,UA,22,1,Cluster 2
38.729,49.255990000000004,PPL,RU,4,0,Cluster 1
35.282379999999996,47.48294,PPL,RU,3,3,Cluster 4
36.3736,47.20085,PPL,RU,1,3,Cluster 4
39.474540000000005,48.881840000000004,PPL,RU,15,0,Cluster 1
35.8378,47.41019,PPL,CONTESTED,19,0,Cluster 1
39.48234,49.04015,PPL,RU,6,0,Cluster 1
36.10784,47.811170000000004,PPL,CONTESTED,20,0,Cluster 1
36.146029999999996,47.66959,PPL,CONTESTED,21,0,Cluster 1
35.99285,47.42651,PPL,RU,1,3,Cluster 4
36.830020000000005,49.486999999999995,PPL,RU,7,0,Cluster 1
36.38388,47.87719,PPL,UA,11,0,Cluster 1
36.32069,47.87855,PPL,UA,11,0,Cluster 1
31.622190000000003,50.67765,PPL,RU,5,2,Cluster 3
29.80645,50.103770000000004,PPL,UA,8,2,Cluster 3
34.93581,50.27035,PPL,CONTESTED,25,1,Cluster 2
31.066670000000002,47.73333,PPL,UA,2,3,Cluster 4
30.676240000000004,47.65276,PPL,UA,2,3,Cluster 4
36.47168,47.96705,PPL,UA,2,3,Cluster 4
37.48346,47.69894,PPL,UA,6,0,Cluster 1
29.91525,50.74327,PPL,CONTESTED,21,1,Cluster 2
29.65448,50.36104,PPL,UA,22,1,Cluster 2
34.79353,50.695679999999996,PPL,UA,22,1,Cluster 2
29.699820000000003,50.16357,PPL,UA,8,2,Cluster 3
30.553659999999997,50.20026,PPL,UA,11,2,Cluster 3
33.26485,50.84555,PPL,RU,2,2,Cluster 3
37.38373,50.0617,PPL,RU,15,0,Cluster 1
30.0097,50.09132,PPL,UA,8,2,Cluster 3
30.437759999999997,50.06753,PPL,UA,11,2,Cluster 3
36.333909999999996,50.04465,PPLX,UA,3,0,Cluster 1
39.41693,48.95905,PPL,RU,15,0,Cluster 1
34.923590000000004,50.95458,PPL,UA,22,1,Cluster 2
34.68457,47.27572,PPLA2,RU,1,3,Cluster 4
36.74476,49.98451,PPL,UA,7,0,Cluster 1
35.52875,47.17203,PPL,RU,1,3,Cluster 4
32.47098,46.92445,PPL,UA,3,3,Cluster 4
35.43012,47.2028,PPL,RU,1,3,Cluster 4
35.81244,47.664559999999994,PPL,CONTESTED,19,0,Cluster 1
37.6771,47.575990000000004,PPL,RU,10,0,Cluster 1
31.64685,47.57481,PPL,UA,7,3,Cluster 4
31.41897,46.80148,PPL,UA,5,3,Cluster 4
31.78743,46.52879,PPL,UA,4,3,Cluster 4
31.697779999999998,47.15249,PPL,UA,5,3,Cluster 4
31.62013,47.35154,PPL,UA,5,3,Cluster 4
38.404540000000004,49.07022,PPL,CONTESTED,7,0,Cluster 1
36.191559999999996,47.740629999999996,PPL,CONTESTED,21,0,Cluster 1
37.381170000000004,47.638709999999996,PPL,RU,10,0,Cluster 1
36.01667,47.16667,PPL,RU,1,3,Cluster 4
30.09358,50.94273,PPL,RU,4,2,Cluster 3
33.82837,51.54095,PPL,CONTESTED,25,1,Cluster 2
37.62322,47.11505,PPLX,CONTESTED,13,0,Cluster 1
36.41795,47.77884,PPL,CONTESTED,20,0,Cluster 1
31.929190000000002,47.57724,PPL,UA,2,3,Cluster 4
37.56924,48.15432,PPL,CONTESTED,1,0,Cluster 1
36.15,47.45,PPL,RU,1,3,Cluster 4
36.23333,47.4,PPL,RU,1,3,Cluster 4
35.85,46.98333,PPL,RU,1,3,Cluster 4
32.327059999999996,47.63705,PPL,UA,5,3,Cluster 4
30.83715,47.468059999999994,PPL,UA,2,3,Cluster 4
36.20374,47.431779999999996,PPL,RU,1,3,Cluster 4
32.032109999999996,47.285920000000004,PPL,UA,5,3,Cluster 4
31.169909999999998,47.12988,PPL,UA,5,3,Cluster 4
34.301109999999994,51.75543,PPL,UA,7,1,Cluster 2
35.63064,47.03132,PPL,RU,1,3,Cluster 4
37.19257,47.10587,PPL,RU,4,0,Cluster 1
32.14239,46.82595,PPL,UA,6,3,Cluster 4
36.26667,47.33333,PPL,RU,1,3,Cluster 4
36.41667,47.83333,PPL,UA,11,0,Cluster 1
32.235859999999995,51.711929999999995,PPL,RU,20,1,Cluster 2
31.56542,47.624829999999996,PPL,UA,7,3,Cluster 4
31.98732,51.89311,PPL,CONTESTED,25,1,Cluster 2
32.22397,51.86683,PPL,RU,20,1,Cluster 2
31.595240000000004,46.83753,PPL,UA,5,3,Cluster 4
29.589470000000002,50.16268,PPL,UA,1,2,Cluster 3
34.82983,50.50835,PPL,CONTESTED,1,2,Cluster 3
32.72426,46.62553,PPLA2,RU,4,3,Cluster 4
31.29503,47.481629999999996,PPL,UA,7,3,Cluster 4
34.70805,47.35201,PPL,RU,1,3,Cluster 4
36.36223,50.09264,PPL,UA,7,0,Cluster 1
32.83333,46.18333,PPL,RU,7,3,Cluster 4
29.25719,50.36088,PPL,UA,5,2,Cluster 3
39.05808,48.885709999999996,PPL,RU,6,0,Cluster 1
31.618000000000002,46.94798,PPL,UA,6,3,Cluster 4
30.84283,47.71902,PPL,UA,2,3,Cluster 4
37.228840000000005,47.38179,PPL,RU,6,0,Cluster 1
36.486340000000006,47.80202,PPL,CONTESTED,20,0,Cluster 1
37.38214,47.58452,PPL,RU,10,0,Cluster 1
39.01308,49.06961,PPL,RU,6,0,Cluster 1
31.563270000000003,47.5252,PPL,UA,7,3,Cluster 4
35.34285,47.315870000000004,PPL,RU,3,3,Cluster 4
35.47508,47.18813,PPL,RU,1,3,Cluster 4
34.24369,50.15271,PPL,UA,7,2,Cluster 3
32.68135,51.32829,PPL,CONTESTED,25,1,Cluster 2
34.96567,50.48478,PPL,CONTESTED,1,2,Cluster 3
38.292770000000004,49.9145,PPL,RU,15,0,Cluster 1
31.665390000000002,47.48434,PPL,UA,2,3,Cluster 4
31.738020000000002,47.3349,PPL,UA,5,3,Cluster 4
37.64782,47.1301,PPL,RU,7,0,Cluster 1
29.842259999999996,49.98352,PPL,UA,8,2,Cluster 3
31.4064,47.71678,PPL,UA,2,3,Cluster 4
31.82077,47.13985,PPL,UA,5,3,Cluster 4
39.578540000000004,49.13239,PPL,RU,6,0,Cluster 1
38.96333,48.757509999999996,PPL,RU,7,0,Cluster 1
30.90304,50.484320000000004,PPL,CONTESTED,16,1,Cluster 2
37.91431,50.01554,PPL,RU,15,0,Cluster 1
38.15665,49.81286,PPL,RU,15,0,Cluster 1
37.23362,49.13008,PPL,CONTESTED,12,0,Cluster 1
37.64312,48.13864,PPL,CONTESTED,1,0,Cluster 1
29.82752,50.194720000000004,PPL,UA,8,2,Cluster 3
35.70836,47.25554,PPLA2,RU,1,3,Cluster 4
34.897459999999995,50.91794,PPL,UA,22,1,Cluster 2
37.90667,49.788909999999994,PPL,RU,15,0,Cluster 1
32.958259999999996,46.75209,PPL,RU,4,3,Cluster 4
38.88023,49.235890000000005,PPL,RU,4,0,Cluster 1
39.49488,49.46632,PPL,RU,5,0,Cluster 1
31.3399,46.92602,PPL,UA,5,3,Cluster 4
35.92021,47.721340000000005,PPL,CONTESTED,19,0,Cluster 1
35.1085,47.1828,PPL,RU,3,3,Cluster 4
33.12713,51.76815,PPL,CONTESTED,25,1,Cluster 2
32.172059999999995,51.93908,PPL,RU,20,1,Cluster 2
35.740759999999995,47.10522,PPL,RU,1,3,Cluster 4
35.57586,47.1759,PPL,RU,1,3,Cluster 4
39.189479999999996,49.13824,PPL,RU,6,0,Cluster 1
36.71894,49.93229,PPL,CONTESTED,25,1,Cluster 2
29.724870000000003,50.8581,PPL,RU,4,2,Cluster 3
38.02681,49.88637,PPL,RU,15,0,Cluster 1
39.42026,49.08684,PPL,RU,6,0,Cluster 1
39.483509999999995,49.61476,PPL,RU,5,0,Cluster 1
36.12973,47.82995,PPL,UA,11,0,Cluster 1
34.545840000000005,50.863240000000005,PPL,CONTESTED,25,1,Cluster 2
39.42557,48.83683,PPL,RU,15,0,Cluster 1
36.57215,47.82354,PPL,UA,2,3,Cluster 4
32.415859999999995,51.81593,PPL,RU,20,1,Cluster 2
30.566670000000002,50.4,PPL,CONTESTED,19,1,Cluster 2
37.778890000000004,49.84417,PPL,RU,15,0,Cluster 1
37.55271,48.35002,PPL,CONTESTED,1,0,Cluster 1
31.307470000000002,47.69992,PPL,UA,2,3,Cluster 4
36.121190000000006,47.41402,PPL,RU,1,3,Cluster 4
33.11739,46.14458,PPL,RU,7,3,Cluster 4
29.833820000000003,50.77036,PPL,CONTESTED,21,1,Cluster 2
31.92085,50.95783,PPL,CONTESTED,16,1,Cluster 2
33.14374,50.83913,PPL,RU,2,2,Cluster 3
37.72118,47.18497,PPL,RU,7,0,Cluster 1
31.383909999999997,47.60863,PPL,UA,7,3,Cluster 4
39.59155,49.44154,PPL,RU,5,0,Cluster 1
32.43312,51.8338,PPL,RU,20,1,Cluster 2
36.6927,47.648740000000004,PPL,UA,2,3,Cluster 4
37.56374,47.531259999999996,PPL,RU,10,0,Cluster 1
32.22153,47.37765,PPL,UA,5,3,Cluster 4
33.215559999999996,50.482820000000004,PPL,CONTESTED,25,1,Cluster 2
31.57586,50.7392,PPL,RU,5,2,Cluster 3
35.51105,47.081520000000005,PPL,RU,1,3,Cluster 4
32.65594,46.892379999999996,PPL,RU,4,3,Cluster 4
34.02946,51.6206,PPL,CONTESTED,25,1,Cluster 2
32.08524,47.38828,PPL,UA,5,3,Cluster 4
34.40674,50.91401,PPL,CONTESTED,25,1,Cluster 2
29.63356,50.10049,PPL,UA,8,2,Cluster 3
34.800290000000004,50.9216,PPLA,UA,22,1,Cluster 2
37.24322,49.0266,PPL,CONTESTED,12,0,Cluster 1
31.990209999999998,47.37034,PPL,UA,5,3,Cluster 4
30.633000000000003,47.6138,PPL,UA,2,3,Cluster 4
34.25568,51.78443,PPL,UA,7,1,Cluster 2
31.579390000000004,46.85171,PPL,UA,5,3,Cluster 4
31.221490000000003,47.05307,PPL,UA,5,3,Cluster 4
37.34793,49.08941,PPL,CONTESTED,12,0,Cluster 1
31.17809,47.43223,PPL,UA,2,3,Cluster 4
38.72583,49.18144,PPL,RU,4,0,Cluster 1
29.934079999999998,50.95994,PPL,RU,4,2,Cluster 3
34.43548,50.16794,PPL,CONTESTED,25,1,Cluster 2
36.08846,47.22056,PPL,RU,1,3,Cluster 4
34.12558,51.69198,PPL,CONTESTED,25,1,Cluster 2
37.48999,49.088879999999996,PPL,CONTESTED,12,0,Cluster 1
37.87777,50.042759999999994,PPL,RU,15,0,Cluster 1
39.852759999999996,49.303670000000004,PPL,RU,6,0,Cluster 1
32.46412,51.8751,PPL,RU,20,1,Cluster 2
37.5325,49.915279999999996,PPL,RU,15,0,Cluster 1
31.51772,47.189370000000004,PPL,UA,5,3,Cluster 4
36.07338,47.15618,PPL,RU,1,3,Cluster 4
31.815459999999998,46.794909999999994,PPL,UA,7,3,Cluster 4
38.85935,48.976409999999994,PPL,RU,6,0,Cluster 1
39.328959999999995,49.67295,PPL,RU,5,0,Cluster 1
34.5682,50.89262,PPL,CONTESTED,25,1,Cluster 2
30.91937,47.464620000000004,PPL,UA,2,3,Cluster 4
34.60583,50.955909999999996,PPL,CONTESTED,25,1,Cluster 2
36.38197,47.61786,PPL,CONTESTED,21,0,Cluster 1
31.251620000000003,47.42736,PPL,UA,2,3,Cluster 4
32.10624,47.20001,PPL,RU,6,3,Cluster 4
35.37807,47.11138,PPL,RU,1,3,Cluster 4
37.34193,46.95701,PPL,RU,4,0,Cluster 1
32.5806,46.696979999999996,PPL,RU,3,3,Cluster 4
30.0453,51.06392,PPL,RU,4,2,Cluster 3
29.71374,50.92413,PPL,RU,4,2,Cluster 3
29.722929999999998,50.07966,PPL,UA,8,2,Cluster 3
31.320259999999998,47.26178,PPL,UA,5,3,Cluster 4
29.527959999999997,50.40051,PPL,UA,22,1,Cluster 2
29.70904,49.9598,PPL,UA,8,2,Cluster 3
29.270809999999997,50.40122,PPL,UA,5,2,Cluster 3
31.12936,47.48981,PPL,UA,2,3,Cluster 4
37.48808,47.16105,PPL,RU,5,0,Cluster 1
30.413909999999998,50.65181,PPL,UA,7,2,Cluster 3
31.859609999999996,51.8849,PPL,CONTESTED,25,1,Cluster 2
37.55873,47.13218,PPL,CONTESTED,13,0,Cluster 1
39.183890000000005,48.72184,PPL,RU,6,0,Cluster 1
30.96667,47.33333,PPL,UA,2,3,Cluster 4
37.42775,49.68872,PPL,RU,2,0,Cluster 1
31.47935,46.971779999999995,PPL,UA,6,3,Cluster 4
31.73302,47.40268,PPL,UA,5,3,Cluster 4
31.30003,47.34762,PPL,UA,2,3,Cluster 4
34.8358,50.377629999999996,PPL,CONTESTED,25,1,Cluster 2
37.78174,47.54145,PPL,RU,6,0,Cluster 1
37.039590000000004,47.10418,PPL,RU,4,0,Cluster 1
35.489470000000004,47.11502,PPL,RU,1,3,Cluster 4
38.91069,49.27832,PPLA2,RU,4,0,Cluster 1
34.14132,51.61923,PPL,CONTESTED,25,1,Cluster 2
32.341609999999996,47.49653,PPL,UA,5,3,Cluster 4
31.53939,47.13725,PPL,UA,5,3,Cluster 4
32.450340000000004,51.443690000000004,PPL,CONTESTED,25,1,Cluster 2
29.84899,50.71608,PPL,CONTESTED,21,1,Cluster 2
31.908890000000003,46.83784,PPL,UA,7,3,Cluster 4
31.31458,50.640209999999996,PPL,RU,5,2,Cluster 3
34.88817,50.49024,PPL,CONTESTED,1,2,Cluster 3
