geonameid,city,longitude,latitude,feature_code,20220227,20220228,20220301,20220302,20220303,20220304,20220305,20220308,20220309,20220310,20220311,20220312,20220313,20220314,20220315,20220316,20220317,20220318,20220319,20220320,20220321,20220322,20220323,20220324,20220325,initial,current,occupy_change,contested
687561.0,Zatyshne,37.3251,47.52055,PPL,RU,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,PPL,RU,No,10
687596.0,Zorya,31.335859999999997,47.72286,PPL,CONTESTED,CONTESTED,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,PPL,UA,Yes,2
687599.0,Zoria,36.36678,47.269459999999995,PPL,CONTESTED,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,PPL,RU,Yes,1
687600.0,Zorya,31.268340000000002,47.26659,PPL,CONTESTED,CONTESTED,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,PPL,UA,Yes,2
687605.0,Zarutske,34.02659,51.65676,PPL,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,PPL,CONTESTED,No,25
687624.0,Zarubynka,37.552859999999995,50.16618,PPL,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,PPL,RU,No,15
687626.0,Zarozhne,36.6894,49.93826,PPL,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,CONTESTED,UA,UA,UA,UA,UA,UA,UA,PPL,UA,Yes,18
687671.0,Zaprudka,29.845309999999998,50.91789,PPL,CONTESTED,CONTESTED,CONTESTED,CONTESTED,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,RU,PPL,RU,No,4
687688.0,Zaporizke,36.533120000000004,47.8552,PPL,UA,UA,UA,UA,UA,CONTESTED,CONTESTED,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,PPL,UA,Yes,2
687718.0,Zapadnia,29.32718,50.19307,PPL,UA,UA,UA,UA,CONTESTED,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,PPL,UA,Yes,1
